lambda,g,t,omega,omega_over_t,k,mu_used,avg_order,energy,energy_over_t
0,0,1,0.5,0.5,0,-2.3,0,-2,-2
0.1,0.22360679775,1,0.5,0.5,0,-2.32,0.107107,-2.0338198548,-2.0338198548
0.2,0.316227766017,1,0.5,0.5,0,-2.3538198548,0.21887,-2.06863192977,-2.06863192977
0.3,0.387298334621,1,0.5,0.5,0,-2.38863192977,0.34823,-2.10659212178,-2.10659212178
0.4,0.4472135955,1,0.5,0.5,0,-2.42659212178,0.501268,-2.14927512607,-2.14927512607
0.5,0.5,1,0.5,0.5,0,-2.46927512607,0.605517,-2.18284759437,-2.18284759437
0.6,0.547722557505,1,0.5,0.5,0,-2.50284759437,0.847515,-2.23936469419,-2.23936469419
0.7,0.59160797831,1,0.5,0.5,0,-2.55936469419,0.963449,-2.28227250186,-2.28227250186
0.8,0.632455532034,1,0.5,0.5,0,-2.60227250186,1.228949,-2.33520985333,-2.33520985333
0.9,0.67082039325,1,0.5,0.5,0,-2.65520985333,1.672326,-2.40067345918,-2.40067345918
1,0.707106781187,1,0.5,0.5,0,-2.72067345918,2.614266,-2.48999176745,-2.48999176745
1.1,0.74161984871,1,0.5,0.5,0,-2.80999176745,1.883926,-2.53338109968,-2.53338109968
1.2,0.774596669241,1,0.5,0.5,0,-2.85338109968,4.494478,-2.6618666202,-2.6618666202
1.3,0.80622577483,1,0.5,0.5,0,-2.9818666202,6.119522,-2.79766419672,-2.79766419672
1.4,0.836660026534,1,0.5,0.5,0,-3.11766419672,17.1014,-3.02397374363,-3.02397374363
1.5,0.866025403784,1,0.5,0.5,0,-3.34397374363,1.425362,-2.97064490261,-2.97064490261
1.6,0.894427191,1,0.5,0.5,0,-3.29064490261,70.453023,-3.39920980031,-3.39920980031
1.7,0.921954445729,1,0.5,0.5,0,-3.71920980031,1.814275,-3.39509079563,-3.39509079563
1.8,0.948683298051,1,0.5,0.5,0,-3.71509079563,64.272322,-3.77204050311,-3.77204050311
1.9,0.974679434481,1,0.5,0.5,0,-4.09204050311,0.62017,-3.48165236762,-3.48165236762
2,1,1,0.5,0.5,0,-3.80165236762,152.910097,-4.13170944695,-4.13170944695
