lambda,g,t,omega,omega_over_t,k,mu_used,avg_order,energy,energy_over_t
0,0,1,0.5,0.5,0,2.3,0,-1.99999999992,-1.99999999992
0.1,0.22360679775,1,0.5,0.5,0,2.3,6.88663,-2.13693332116,-2.13693332116
0.2,0.316227766017,1,0.5,0.5,0,2.3,14.889832,-2.27359106668,-2.27359106668
0.3,0.387298334621,1,0.5,0.5,0,2.3,23.222358,-2.43543976407,-2.43543976407
0.4,0.4472135955,1,0.5,0.5,0,2.3,33.409505,-2.60674856565,-2.60674856565
0.5,0.5,1,0.5,0.5,0,2.3,47.574375,-2.76011959393,-2.76011959393
0.6,0.547722557505,1,0.5,0.5,0,2.3,65.565053,-3.00526993686,-3.00526993686
0.7,0.59160797831,1,0.5,0.5,0,2.3,87.735369,-3.2453787107,-3.2453787107
0.8,0.632455532034,1,0.5,0.5,0,2.3,119.794183,-3.59106532762,-3.59106532762
0.9,0.67082039325,1,0.5,0.5,0,2.3,148.946303,-3.91272266038,-3.91272266038
1,0.707106781187,1,0.5,0.5,0,2.3,169.840689,-4.26063271872,-4.26063271872
1.1,0.74161984871,1,0.5,0.5,0,2.3,194.285614,-4.66627113715,-4.66627113715
1.2,0.774596669241,1,0.5,0.5,0,2.3,214.11351,-5.03775242124,-5.03775242124
1.3,0.80622577483,1,0.5,0.5,0,2.3,235.42414,-5.37448206777,-5.37448206777
1.4,0.836660026534,1,0.5,0.5,0,2.3,254.47413,-5.74134474243,-5.74134474243
1.5,0.866025403784,1,0.5,0.5,0,2.3,276.171183,-6.15442350153,-6.15442350153
1.6,0.894427191,1,0.5,0.5,0,2.3,294.56137,-6.56853380972,-6.56853380972
1.7,0.921954445729,1,0.5,0.5,0,2.3,316.98294,-7.01595714469,-7.01595714469
1.8,0.948683298051,1,0.5,0.5,0,2.3,335.706243,-7.33080653049,-7.33080653049
1.9,0.974679434481,1,0.5,0.5,0,2.3,355.228803,-7.64579892152,-7.64579892152
2,1,1,0.5,0.5,0,2.3,373.148166,-8.10679375635,-8.10679375635
