lambda,g,tau,histogram_data,green_estimator
0,0,0.25,0,0
0,0,0.75,0,0
0,0,1.25,0,0
0,0,1.75,0,0
0,0,2.25,0,0
0,0,2.75,0,0
0,0,3.25,0,0
0,0,3.75,0,0
0,0,4.25,0,0
0,0,4.75,0,0
0,0,5.25,0,0
0,0,5.75,0,0
0,0,6.25,0,0
0,0,6.75,0,0
0,0,7.25,0,0
0,0,7.75,0,0
0,0,8.25,0,0
0,0,8.75,0,0
0,0,9.25,0,0
0,0,9.75,0,0
0,0,10.25,0,0
0,0,10.75,0,0
0,0,11.25,0,0
0,0,11.75,0,0
0,0,12.25,0,0
0,0,12.75,0,0
0,0,13.25,0,0
0,0,13.75,0,0
0,0,14.25,0,0
0,0,14.75,0,0
0,0,15.25,0,0
0,0,15.75,0,0
0,0,16.25,0,0
0,0,16.75,0,0
0,0,17.25,0,0
0,0,17.75,0,0
0,0,18.25,0,0
0,0,18.75,0,0
0,0,19.25,0,0
0,0,19.75,0,0
0,0,20.25,0,7.17536837015e+83
0,0,20.75,0,6.15995214054e+84
0,0,21.25,0,5.28823168599e+85
0,0,21.75,4.39475977322e+87,4.53987201957e+86
0,0,22.25,0,3.89741584293e+87
0,0,22.75,0,3.34587631265e+88
0,0,23.25,0,2.87238743586e+89
0,0,23.75,0,2.46590393987e+90
0,0,24.25,0,0
0,0,24.75,0,0
0,0,25.25,0,0
0,0,25.75,0,0
0,0,26.25,0,0
0,0,26.75,0,0
0,0,27.25,0,0
0,0,27.75,0,0
0,0,28.25,0,0
0,0,28.75,0,0
0,0,29.25,0,0
0,0,29.75,0,0
0,0,30.25,0,0
0,0,30.75,0,0
0,0,31.25,0,0
0,0,31.75,0,0
0,0,32.25,0,0
0,0,32.75,0,0
0,0,33.25,0,0
0,0,33.75,0,0
0,0,34.25,0,0
0,0,34.75,0,0
0,0,35.25,0,0
0,0,35.75,0,0
0,0,36.25,0,0
0,0,36.75,0,0
0,0,37.25,0,0
0,0,37.75,0,0
0,0,38.25,0,0
0,0,38.75,0,0
0,0,39.25,0,0
0,0,39.75,0,0
0,0,40.25,0,0
0,0,40.75,0,0
0,0,41.25,0,0
0,0,41.75,0,0
0,0,42.25,0,0
0,0,42.75,0,0
0,0,43.25,0,0
0,0,43.75,0,0
0,0,44.25,0,0
0,0,44.75,0,0
0,0,45.25,0,7.62693112778e+84
0,0,45.75,0,6.88001424864e+85
0,0,46.25,0,6.02180888944e+86
0,0,46.75,7.47109161447e+88,5.52110338517e+87
0,0,47.25,0,4.95061629663e+88
0,0,47.75,6.92174664281e+88,4.43510881921e+89
0,0,48.25,1.58101482841e+90,4.14643187702e+90
0,0,48.75,1.34018199284e+91,4.10729198282e+91
0,0,49.25,1.12464099976e+92,8.94180967598e+91
0,0,49.75,9.71094685428e+92,7.63885136064e+92
0.1,0.22360679775,0.25,0,0
0.1,0.22360679775,0.75,0,0
0.1,0.22360679775,1.25,0,0
0.1,0.22360679775,1.75,0,0
0.1,0.22360679775,2.25,0,0
0.1,0.22360679775,2.75,0,0
0.1,0.22360679775,3.25,0,0
0.1,0.22360679775,3.75,0,0
0.1,0.22360679775,4.25,0,0
0.1,0.22360679775,4.75,0,0
0.1,0.22360679775,5.25,0,0
0.1,0.22360679775,5.75,0,0
0.1,0.22360679775,6.25,0,0
0.1,0.22360679775,6.75,0,0
0.1,0.22360679775,7.25,0,0
0.1,0.22360679775,7.75,0,0
0.1,0.22360679775,8.25,0,5.9840958511e+85
0.1,0.22360679775,8.75,0,5.13726155169e+86
0.1,0.22360679775,9.25,0,4.41026629705e+87
0.1,0.22360679775,9.75,0,3.7861511654e+88
0.1,0.22360679775,10.25,8.87471682798e+89,3.25035716253e+89
0.1,0.22360679775,10.75,0,2.79038559806e+90
0.1,0.22360679775,11.25,0,2.39550652328e+91
0.1,0.22360679775,11.75,0,2.05650842919e+92
0.1,0.22360679775,12.25,0,0
0.1,0.22360679775,12.75,0,0
0.1,0.22360679775,13.25,0,0
0.1,0.22360679775,13.75,0,0
0.1,0.22360679775,14.25,0,0
0.1,0.22360679775,14.75,0,0
0.1,0.22360679775,15.25,0,0
0.1,0.22360679775,15.75,0,0
0.1,0.22360679775,16.25,0,0
0.1,0.22360679775,16.75,0,0
0.1,0.22360679775,17.25,0,0
0.1,0.22360679775,17.75,0,0
0.1,0.22360679775,18.25,0,0
0.1,0.22360679775,18.75,0,0
0.1,0.22360679775,19.25,0,0
0.1,0.22360679775,19.75,0,0
0.1,0.22360679775,20.25,0,0
0.1,0.22360679775,20.75,0,1.38004926653e+87
0.1,0.22360679775,21.25,0,1.18918792006e+88
0.1,0.22360679775,21.75,0,1.02451034809e+89
0.1,0.22360679775,22.25,9.76218851078e+90,8.8245236725e+89
0.1,0.22360679775,22.75,0,7.59931888742e+90
0.1,0.22360679775,23.25,0,6.54283910775e+91
0.1,0.22360679775,23.75,0,5.632043001e+92
0.1,0.22360679775,24.25,0,4.84701161091e+93
0.1,0.22360679775,24.75,0,0
0.1,0.22360679775,25.25,0,0
0.1,0.22360679775,25.75,0,0
