lambda,g,tau,histogram_data,green_estimator
0,0,0.25,0.947286376889,0.924899898956
0,0,0.75,0.797639756,0.799370639522
0,0,1.25,0.691579788444,0.687338373396
0,0,1.75,0.591926485595,0.588370141748
0,0,2.25,0.492053182813,0.506113571524
0,0,2.75,0.440486531921,0.432563765675
0,0,3.25,0.372506552716,0.372483689303
0,0,3.75,0.323359901083,0.320973604674
0,0,4.25,0.267859918061,0.27799503304
0,0,4.75,0.238693260316,0.239264985047
0,0,5.25,0.21456660103,0.208006230652
0,0,5.75,0.175773279564,0.181177849531
0,0,6.25,0.152179953448,0.15465344339
0,0,6.75,0.140926623557,0.133213011822
0,0,7.25,0.125793294853,0.115709728489
0,0,7.75,0.0961266372613,0.0980514592546
0,0,8.25,0.0779666428165,0.0844504665877
0,0,8.75,0.071553311445,0.0726338088146
0,0,9.25,0.0640266470808,0.0620989028432
0,0,9.75,0.0509599844112,0.0533336447199
0,0,10.25,0.0467399857021,0.0462435435623
0,0,10.75,0.0399066544591,0.0403676452516
0,0,11.25,0.0374333218824,0.0345785672051
0,0,11.75,0.0279533247823,0.0300330785577
0,0,12.25,0.0264999918936,0.0258174304505
0,0,12.75,0.0235333261344,0.0221724906154
0,0,13.25,0.0185199943347,0.0188462207738
0,0,13.75,0.0160599950872,0.0165264535399
0,0,14.25,0.0146133288631,0.0141036519746
0,0,14.75,0.0105199967819,0.0120581127397
0,0,15.25,0.0107933300316,0.0102195541472
0,0,15.75,0.00935333047213,0.00867858911694
0,0,16.25,0.00753333102887,0.00745747057324
0,0,16.75,0.00664666463344,0.00628442548137
0,0,17.25,0.00465333190987,0.00544670387102
0,0,17.75,0.00437999866015,0.00451041764245
0,0,18.25,0.00423999870297,0.00393244934575
0,0,18.75,0.00288666578363,0.00343458296774
0,0,19.25,0.00330666565515,0.00289322514818
0,0,19.75,0.00229999929642,0.00260726666242
0,0,20.25,0.00264666585705,0.00215224846781
0,0,20.75,0.00167999948608,0.0019117064248
0,0,21.25,0.0016599994922,0.00160204663763
0,0,21.75,0.00143333289487,0.00142141846475
0,0,22.25,0.000946666377079,0.00119373595914
0,0,22.75,0.00115999964515,0.00101192156203
0,0,23.25,0.000886666395433,0.000885629115323
0,0,23.75,0.000886666395433,0.000770420295706
0,0,24.25,0.000566666493322,0.000653994161373
0,0,24.75,0.000613333145713,0.000528948750926
0,0,25.25,0.000459999859285,0.000451982393048
0,0,25.75,0.000413333206894,0.000333801149111
0,0,26.25,0.000306666572857,0.000316186432757
