lambda,g,tau,histogram_data,green_estimator
0,0,0.25,0,0
0,0,0.75,0,0
0,0,1.25,0,0
0,0,1.75,0,0
0,0,2.25,0,0
0,0,2.75,0,0
0,0,3.25,0,0
0,0,3.75,0,0
0,0,4.25,0,0
0,0,4.75,0,0
0,0,5.25,0,0
0,0,5.75,0,0
0,0,6.25,0,0
0,0,6.75,0,0
0,0,7.25,0,0
0,0,7.75,0,0
0,0,8.25,0,0
0,0,8.75,0,0
0,0,9.25,0,0
0,0,9.75,0,0
0,0,10.25,0,0
0,0,10.75,0,0
0,0,11.25,0,0
0,0,11.75,0,0
0,0,12.25,0,0
0,0,12.75,0,0
0,0,13.25,0,0
0,0,13.75,0,0
0,0,14.25,0,0
0,0,14.75,0,0
0,0,15.25,0,0
0,0,15.75,0,0
0,0,16.25,0,0
0,0,16.75,0,0
0,0,17.25,0,0
0,0,17.75,0,0
0,0,18.25,0,0
0,0,18.75,0,0
0,0,19.25,0,0
0,0,19.75,0,0
0,0,20.25,0,0
0,0,20.75,0,0
0,0,21.25,0,0
0,0,21.75,0,0
0,0,22.25,0,0
0,0,22.75,0,0
0,0,23.25,0,0
0,0,23.75,0,0
0,0,24.25,0,0
0,0,24.75,0,0
0,0,25.25,0,0
0,0,25.75,0,0
0,0,26.25,0,0
0,0,26.75,0,0
0,0,27.25,0,0
0,0,27.75,0,0
0,0,28.25,0,0
0,0,28.75,0,0
0,0,29.25,0,0
0,0,29.75,0,0
0,0,30.25,0,0
0,0,30.75,0,0
0,0,31.25,0,0
0,0,31.75,0,0
0,0,32.25,0,0
0,0,32.75,0,0
0,0,33.25,0,0
0,0,33.75,0,0
0,0,34.25,0,0
0,0,34.75,0,0
0,0,35.25,0,0
0,0,35.75,0,0
0,0,36.25,0,0
0,0,36.75,0,0
0,0,37.25,0,0
0,0,37.75,0,0
0,0,38.25,0,0
0,0,38.75,0,3.34782686787e+82
0,0,39.25,0,2.87406195989e+83
0,0,39.75,0,2.46734149504e+84
0,0,40.25,0,2.11817773524e+85
0,0,40.75,1.0986899433e+87,1.81842559171e+86
0,0,41.25,0,1.56109262106e+87
0,0,41.75,0,1.34017590967e+88
0,0,42.25,0,1.15052204118e+89
0,0,42.75,0,0
0,0,43.25,0,0
0,0,43.75,0,0
0,0,44.25,0,1.32195892162e+84
0,0,44.75,0,1.1348830149e+85
0,0,45.25,0,9.78942887765e+85
0,0,45.75,1.42829692629e+88,8.40408607039e+86
0,0,46.25,0,7.24517390336e+87
0,0,46.75,0,6.2417213888e+88
0,0,47.25,1.86777290362e+88,5.3781699483e+89
0,0,47.75,8.89938854076e+88,4.63658480067e+90
0,0,48.25,1.17230216951e+90,9.3913706974e+89
0,0,48.75,1.24767229962e+91,9.30272164532e+90
0,0,49.25,1.125816598e+92,7.43772822103e+91
0,0,49.75,9.72336205064e+92,7.80411421463e+92
0.1,0.22360679775,0.25,0,0
0.1,0.22360679775,0.75,0,0
0.1,0.22360679775,1.25,0,0
0.1,0.22360679775,1.75,0,0
0.1,0.22360679775,2.25,0,0
0.1,0.22360679775,2.75,0,0
0.1,0.22360679775,3.25,0,0
0.1,0.22360679775,3.75,0,0
0.1,0.22360679775,4.25,0,0
0.1,0.22360679775,4.75,0,0
0.1,0.22360679775,5.25,0,0
0.1,0.22360679775,5.75,0,0
0.1,0.22360679775,6.25,0,0
0.1,0.22360679775,6.75,0,0
0.1,0.22360679775,7.25,0,0
0.1,0.22360679775,7.75,0,0
0.1,0.22360679775,8.25,0,4.00615967925e+83
0.1,0.22360679775,8.75,0,3.43923135629e+84
0.1,0.22360679775,9.25,0,2.95253141889e+85
0.1,0.22360679775,9.75,0,2.53470641444e+86
0.1,0.22360679775,10.25,5.94133743939e+87,2.17600956463e+87
0.1,0.22360679775,10.75,0,1.86807339833e+88
0.1,0.22360679775,11.25,0,1.60371456002e+89
0.1,0.22360679775,11.75,0,1.37676624073e+90
0.1,0.22360679775,12.25,0,0
0.1,0.22360679775,12.75,0,0
0.1,0.22360679775,13.25,0,0
0.1,0.22360679775,13.75,0,0
0.1,0.22360679775,14.25,0,0
0.1,0.22360679775,14.75,0,0
0.1,0.22360679775,15.25,0,0
0.1,0.22360679775,15.75,0,0
0.1,0.22360679775,16.25,0,0
0.1,0.22360679775,16.75,0,0
0.1,0.22360679775,17.25,0,0
0.1,0.22360679775,17.75,0,0
0.1,0.22360679775,18.25,0,0
0.1,0.22360679775,18.75,0,0
0.1,0.22360679775,19.25,0,0
0.1,0.22360679775,19.75,0,0
0.1,0.22360679775,20.25,0,0
0.1,0.22360679775,20.75,0,0
0.1,0.22360679775,21.25,0,0
0.1,0.22360679775,21.75,0,0
0.1,0.22360679775,22.25,0,0
0.1,0.22360679775,22.75,0,0
0.1,0.22360679775,23.25,0,0
0.1,0.22360679775,23.75,0,0
0.1,0.22360679775,24.25,0,0
0.1,0.22360679775,24.75,0,0
0.1,0.22360679775,25.25,0,0
0.1,0.22360679775,25.75,0,0
0.1,0.22360679775,26.25,0,0
0.1,0.22360679775,26.75,0,0
0.1,0.22360679775,27.25,0,0
