lambda,g,t,omega,omega_over_t,k,mu_used,avg_order,energy,energy_over_t
0,0,1,0.5,0.5,0,-2.3,0,-2,-2
0.1,0.22360679775,1,0.5,0.5,0,-2.308,0.113191,-2.03397126528,-2.03397126528
0.2,0.316227766017,1,0.5,0.5,0,-2.32798850611,0.243243,-2.06863748703,-2.06863748703
0.3,0.387298334621,1,0.5,0.5,0,-2.3562457997,0.386922,-2.10483804663,-2.10483804663
0.4,0.4472135955,1,0.5,0.5,0,-2.38933415719,0.560037,-2.14669543038,-2.14669543038
0.5,0.5,1,0.5,0.5,0,-2.42689633797,0.780526,-2.18971765233,-2.18971765233
0.6,0.547722557505,1,0.5,0.5,0,-2.46753729987,0.930758,-2.23347750801,-2.23347750801
0.7,0.59160797831,1,0.5,0.5,0,-2.5100415755,1.24349,-2.28137078389,-2.28137078389
0.8,0.632455532034,1,0.5,0.5,0,-2.55507411398,1.817457,-2.3506690649,-2.3506690649
0.9,0.67082039325,1,0.5,0.5,0,-2.61031860205,2.104696,-2.39860384668,-2.39860384668
1,0.707106781187,1,0.5,0.5,0,-2.66468159751,2.520146,-2.46227291678,-2.46227291678
1.1,0.74161984871,1,0.5,0.5,0,-2.72259072431,5.1924873,-2.56867813439,-2.56867813439
1.2,0.774596669241,1,0.5,0.5,0,-2.80060751371,12.4000132,-2.70127814844,-2.70127814844
1.3,0.80622577483,1,0.5,0.5,0,-2.90447912548,29.2627851,-2.86452951918,-2.86452951918
1.35,0.821583836258,1,0.5,0.5,0,-3.03727360531,10.1523748,-2.89630368144,-2.89630368144
1.4,0.836660026534,1,0.5,0.5,0,-3.13544453173,9.6462155,-2.98015415048,-2.98015415048
1.45,0.851469318296,1,0.5,0.5,0,-3.22096256452,6.9267885,-3.03047005425,-3.03047005425
1.5,0.866025403784,1,0.5,0.5,0,-3.28986916697,11.4842599,-3.15724217818,-3.15724217818
1.55,0.880340843083,1,0.5,0.5,0,-3.37859969194,10.9379106,-3.23684076249,-3.23684076249
1.6,0.894427191,1,0.5,0.5,0,-3.46764222515,8.1369961,-3.3064528637,-3.3064528637
1.65,0.908295106229,1,0.5,0.5,0,-3.54897498721,7.6748328,-3.38818650748,-3.38818650748
1.7,0.921954445729,1,0.5,0.5,0,-3.62892614773,12.4646557,-3.52099403572,-3.52099403572
1.75,0.935414346693,1,0.5,0.5,0,-3.72974353503,4.2761194,-3.53594338605,-3.53594338605
1.8,0.948683298051,1,0.5,0.5,0,-3.8003869529,6.1203599,-3.65107973732,-3.65107973732
1.85,0.961769203084,1,0.5,0.5,0,-3.88279275024,22.6120509,-3.84905028724,-3.84905028724
1.9,0.974679434481,1,0.5,0.5,0,-4.01377692451,4.1713277,-3.82748814012,-3.82748814012
1.95,0.987420882907,1,0.5,0.5,0,-4.09345824561,3.7071097,-3.91528936088,-3.91528936088
2,1,1,0.5,0.5,0,-4.16612695594,32.4000165,-4.16770415274,-4.16770415274
