lambda,g,t,omega,omega_over_t,k,mu_used,avg_order,energy,energy_over_t
0,0,1,0.5,0.5,0,2.3,0,-1.99999999992,-1.99999999992
0.1,0.22360679775,1,0.5,0.5,0,2.3,1.726522,-2.03441436194,-2.03441436194
0.2,0.316227766017,1,0.5,0.5,0,2.3,3.571542,-2.069770556,-2.069770556
0.3,0.387298334621,1,0.5,0.5,0,2.3,5.668202,-2.10763553073,-2.10763553073
0.4,0.4472135955,1,0.5,0.5,0,2.3,8.21268,-2.14983062562,-2.14983062562
0.5,0.5,1,0.5,0.5,0,2.3,10.511147,-2.18894562714,-2.18894562714
0.6,0.547722557505,1,0.5,0.5,0,2.3,13.493102,-2.2326674604,-2.2326674604
0.7,0.59160797831,1,0.5,0.5,0,2.3,17.508673,-2.28490470314,-2.28490470314
0.8,0.632455532034,1,0.5,0.5,0,2.3,23.931131,-2.33931402774,-2.33931402774
0.9,0.67082039325,1,0.5,0.5,0,2.3,30.993401,-2.41457389753,-2.41457389753
1,0.707106781187,1,0.5,0.5,0,2.3,46.773362,-2.50068277973,-2.50068277973
1.1,0.74161984871,1,0.5,0.5,0,2.3,60.459654,-2.60896473202,-2.60896473202
1.2,0.774596669241,1,0.5,0.5,0,2.3,79.3352402,-2.75589166585,-2.75589166585
1.3,0.80622577483,1,0.5,0.5,0,2.3,96.9417007,-2.89979470315,-2.89979470315
1.35,0.821583836258,1,0.5,0.5,0,2.3,104.5100494,-2.98994403823,-2.98994403823
1.4,0.836660026534,1,0.5,0.5,0,2.3,111.9800129,-3.06439779639,-3.06439779639
1.45,0.851469318296,1,0.5,0.5,0,2.3,118.594972,-3.15505510159,-3.15505510159
1.5,0.866025403784,1,0.5,0.5,0,2.3,125.4505267,-3.2372540974,-3.2372540974
1.55,0.880340843083,1,0.5,0.5,0,2.3,130.7848976,-3.32705931584,-3.32705931584
1.6,0.894427191,1,0.5,0.5,0,2.3,136.2088755,-3.43395518548,-3.43395518548
1.65,0.908295106229,1,0.5,0.5,0,2.3,142.3982172,-3.51047359288,-3.51047359288
1.7,0.921954445729,1,0.5,0.5,0,2.3,148.4242063,-3.6166711739,-3.6166711739
1.75,0.935414346693,1,0.5,0.5,0,2.3,153.0228016,-3.7000857064,-3.7000857064
1.8,0.948683298051,1,0.5,0.5,0,2.3,158.2868808,-3.79201376394,-3.79201376394
1.85,0.961769203084,1,0.5,0.5,0,2.3,164.0552933,-3.8935227918,-3.8935227918
1.9,0.974679434481,1,0.5,0.5,0,2.3,169.6553526,-3.99274582425,-3.99274582425
1.95,0.987420882907,1,0.5,0.5,0,2.3,174.4741647,-4.06913703986,-4.06913703986
2,1,1,0.5,0.5,0,2.3,179.7612402,-4.19309657382,-4.19309657382
