tau,green_estimator,green_error
0.05625,-174.770779067,187.463249045
0.16875,-49.3665427923,96.7278260894
0.28125,-1520.00535019,436.949789375
0.39375,-742.361917777,246.777246062
0.50625,-463.537299259,164.022628437
0.61875,-371.850498696,134.232250882
0.73125,-328.859227796,127.074266368
0.84375,-293.314032895,128.782333773
0.95625,-254.302344129,94.2639791421
1.06875,-221.840418525,88.6096803693
1.18125,0,0
1.29375,0,0
1.40625,0,0
1.51875,0,0
1.63125,-4.3453043518,3.22937160496
1.74375,22.8028380586,21.7901266046
1.85625,279.61074241,110.708573716
1.96875,245.198590572,153.804576926
2.08125,142.602059685,159.362536649
2.19375,3.05994604644,211.083341969
2.30625,-190.128893681,342.833266809
2.41875,-518.24798857,531.492357864
2.53125,-204.121016909,434.403870171
2.64375,24.511481479,256.159814912
2.75625,0.224507048417,182.942028504
2.86875,18.7152072152,137.169795495
2.98125,16.6609749662,110.599440195
3.09375,13.2523689063,94.147511029
3.20625,43.7794257445,64.5902973749
3.31875,75.4101455434,73.7179677572
3.43125,98.6710984985,84.9594604862
3.54375,118.42177297,97.6972171286
3.65625,144.526572602,110.889542549
3.76875,169.522156416,123.151305447
3.88125,191.923040876,133.91910443
3.99375,88.75900818,175.203715227
4.10625,-102.883105312,104.566049548
4.21875,-106.292386641,98.4633027061
4.33125,-139.470386601,96.935562168
4.44375,-192.573089024,96.6681257151
4.55625,-206.909272453,96.3520250651
4.66875,-338.413422049,119.388849508
4.78125,-365.60739902,127.510541546
4.89375,-344.001461531,127.025533829
5.00625,-383.713598669,144.687138566
5.11875,-423.401382123,165.2027671
5.23125,-207.602041367,96.030929016
5.34375,-137.560762984,90.2816198719
5.45625,-137.845749524,91.4382324372
5.56875,-148.49209823,114.685214871
5.68125,-114.258793951,84.6269911619
5.79375,-102.354421823,82.8484711132
5.90625,-129.635350639,103.523019712
6.01875,-130.456334695,143.516418707
6.13125,-150.75772003,178.122904812
6.24375,-94.3598789732,209.906099662
6.35625,-135.038019069,258.275298896
6.46875,4.95581068152,116.813288218
6.58125,-36.1373629175,87.3084153327
6.69375,-43.4998570464,98.7416321525
6.80625,-114.892281336,103.505117086
6.91875,-158.702731142,87.3477944297
7.03125,-176.089556087,91.2480599316
7.14375,-259.707743081,124.953792298
7.25625,-201.791686033,128.710286166
7.36875,-124.811481376,136.527463369
7.48125,-77.3722401841,147.130264206
7.59375,-95.618440264,160.891886375
7.70625,-134.646531337,191.076654807
7.81875,107.098252783,202.517139978
7.93125,12.2789920194,206.976267266
8.04375,-120.576367208,216.862970703
8.15625,-339.084065606,404.029747728
8.26875,-1890.84333472,1392.90546043
8.38125,-5420.61617093,5630.12080974
8.49375,12525.6899714,14604.888679
8.60625,49811.1512895,54350.1752723
8.71875,-119543.468027,69295.2731072
8.83125,-332075.743821,161302.154464
8.94375,624480.802,342950.849039
